[Thu May 25 00:18:57 2023] ThreadID[31196]	Start Program.
[Thu May 25 00:18:57 2023] ThreadID[31196]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:18:57 2023] ThreadID[31196]	[ERROR]	H2B Not Found: ../Models/Debris_Pile.h2b
[Thu May 25 00:18:57 2023] ThreadID[31196]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:18:57 2023] ThreadID[31196]	[ERROR]	H2B Not Found: ../Models/GasCan.h2b
[Thu May 25 00:18:57 2023] ThreadID[31196]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:18:57 2023] ThreadID[31196]	[ERROR]	H2B Not Found: ../Models/Health.h2b
[Thu May 25 00:18:57 2023] ThreadID[31196]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:18:57 2023] ThreadID[31196]	[ERROR]	H2B Not Found: ../Models/Landmine.h2b
[Thu May 25 00:18:57 2023] ThreadID[31196]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:18:57 2023] ThreadID[31196]	[ERROR]	H2B Not Found: ../Models/Structure_1.h2b
[Thu May 25 00:18:57 2023] ThreadID[31196]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:18:57 2023] ThreadID[31196]	[ERROR]	H2B Not Found: ../Models/Tank.h2b
[Thu May 25 00:18:57 2023] ThreadID[31196]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:18:57 2023] ThreadID[31196]	[ERROR]	H2B Not Found: ../Models/Tree_3.h2b
[Thu May 25 00:18:57 2023] ThreadID[31196]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:18:57 2023] ThreadID[31196]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu May 25 00:18:57 2023] ThreadID[31196]	[EVENT]	GAME LEVEL WAS LOADED TO CPU [DATA ORIENTED]
[Thu May 25 00:19:13 2023] ThreadID[50396]	Start Program.
[Thu May 25 00:19:13 2023] ThreadID[50396]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Thu May 25 00:19:13 2023] ThreadID[50396]	[MESSAGE]	Begin Reading Game Level Text File.
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Camera Detected: Camera
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -7.978100 Y 19.089300 Z -1.025000
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Camera Detected: Camera.002
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -23.598101 Y 5.529700 Z 12.363400
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Camera Detected: Camera.001
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X 3.046300 Y 5.529700 Z -7.187700
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: Tree_3
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -9.240400 Y 0.000000 Z 6.261300
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: BearTrap_Open
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -10.045200 Y 0.000000 Z 2.357300
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: BrickWall_1
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -6.600200 Y 0.290100 Z 6.642400
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: Structure_1
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -13.139300 Y 0.000000 Z 2.213800
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: Crate
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -7.975000 Y 0.000000 Z -1.748000
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: Crate.001
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -8.085400 Y -0.049000 Z -2.526500
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: Crate.002
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -8.101000 Y 0.682400 Z -2.104900
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: Health
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -11.864400 Y 3.871100 Z 3.208900
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: Barrier_Large
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -16.015499 Y 0.000000 Z -4.917600
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: Barrier_Large.001
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -11.386300 Y -0.054800 Z -4.892400
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: Barrier_Large.002
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -6.538000 Y -0.054800 Z -4.892400
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: BrickWall_1.001
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -4.515200 Y 0.000000 Z 6.642400
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: BrickWall_1.002
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -2.481100 Y 0.290100 Z 6.642400
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: BrickWall_1.003
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -0.429700 Y 0.000000 Z 6.642400
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: Container_Small
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -0.714400 Y 0.000000 Z 7.872900
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: GasCan
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -9.167000 Y 0.012500 Z 6.028100
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: Landmine
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -1.019400 Y 0.000000 Z -0.247900
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: Tank.001
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -1.326100 Y 0.000000 Z -5.355400
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: Tree_3.001
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -15.676000 Y 0.000000 Z -3.777600
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: Landmine.001
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -2.739700 Y 0.000000 Z -2.678100
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: Landmine.002
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X 0.508400 Y 0.000000 Z -2.606800
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: Debris_Pile
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -1.698200 Y 0.000000 Z 4.433000
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: Debris_Pile.001
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -0.491300 Y 0.000000 Z 3.857200
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Model Detected: Container_Small.001
[Thu May 25 00:19:13 2023] ThreadID[50396]	[INFO]	Location: X -7.756200 Y -2.127300 Z 1.547700
[Thu May 25 00:19:13 2023] ThreadID[50396]	[MESSAGE]	Game Level File Reading Complete.
[Thu May 25 00:19:13 2023] ThreadID[50396]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu May 25 00:19:13 2023] ThreadID[50396]	[ERROR]	H2B Not Found: ../Models/Barrier_Large.h2b
[Thu May 25 00:19:13 2023] ThreadID[50396]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:19:13 2023] ThreadID[50396]	[ERROR]	H2B Not Found: ../Models/BearTrap_Open.h2b
[Thu May 25 00:19:13 2023] ThreadID[50396]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:19:13 2023] ThreadID[50396]	[ERROR]	H2B Not Found: ../Models/BrickWall_1.h2b
[Thu May 25 00:19:13 2023] ThreadID[50396]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:19:13 2023] ThreadID[50396]	[ERROR]	H2B Not Found: ../Models/Container_Small.h2b
[Thu May 25 00:19:13 2023] ThreadID[50396]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:19:13 2023] ThreadID[50396]	[ERROR]	H2B Not Found: ../Models/Crate.h2b
[Thu May 25 00:19:13 2023] ThreadID[50396]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:19:13 2023] ThreadID[50396]	[ERROR]	H2B Not Found: ../Models/Debris_Pile.h2b
[Thu May 25 00:19:13 2023] ThreadID[50396]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:19:13 2023] ThreadID[50396]	[ERROR]	H2B Not Found: ../Models/GasCan.h2b
[Thu May 25 00:19:13 2023] ThreadID[50396]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:19:13 2023] ThreadID[50396]	[ERROR]	H2B Not Found: ../Models/Health.h2b
[Thu May 25 00:19:13 2023] ThreadID[50396]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:19:13 2023] ThreadID[50396]	[ERROR]	H2B Not Found: ../Models/Landmine.h2b
[Thu May 25 00:19:13 2023] ThreadID[50396]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:19:13 2023] ThreadID[50396]	[ERROR]	H2B Not Found: ../Models/Structure_1.h2b
[Thu May 25 00:19:13 2023] ThreadID[50396]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:19:13 2023] ThreadID[50396]	[ERROR]	H2B Not Found: ../Models/Tank.h2b
[Thu May 25 00:19:13 2023] ThreadID[50396]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:19:13 2023] ThreadID[50396]	[ERROR]	H2B Not Found: ../Models/Tree_3.h2b
[Thu May 25 00:19:13 2023] ThreadID[50396]	[WARNING]	Loading will continue but model(s) are missing.
[Thu May 25 00:19:13 2023] ThreadID[50396]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu May 25 00:19:13 2023] ThreadID[50396]	[EVENT]	GAME LEVEL WAS LOADED TO CPU [DATA ORIENTED]
[Thu May 25 00:19:45 2023] ThreadID[12536]	Start Program.
[Thu May 25 00:19:45 2023] ThreadID[12536]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Thu May 25 00:19:45 2023] ThreadID[12536]	[MESSAGE]	Begin Reading Game Level Text File.
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Camera Detected: Camera
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -7.978100 Y 19.089300 Z -1.025000
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Camera Detected: Camera.002
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -23.598101 Y 5.529700 Z 12.363400
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Camera Detected: Camera.001
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X 3.046300 Y 5.529700 Z -7.187700
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: Tree_3
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -9.240400 Y 0.000000 Z 6.261300
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: BearTrap_Open
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -10.045200 Y 0.000000 Z 2.357300
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: BrickWall_1
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -6.600200 Y 0.290100 Z 6.642400
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: Structure_1
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -13.139300 Y 0.000000 Z 2.213800
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: Crate
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -7.975000 Y 0.000000 Z -1.748000
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: Crate.001
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -8.085400 Y -0.049000 Z -2.526500
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: Crate.002
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -8.101000 Y 0.682400 Z -2.104900
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: Health
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -11.864400 Y 3.871100 Z 3.208900
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: Barrier_Large
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -16.015499 Y 0.000000 Z -4.917600
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: Barrier_Large.001
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -11.386300 Y -0.054800 Z -4.892400
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: Barrier_Large.002
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -6.538000 Y -0.054800 Z -4.892400
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: BrickWall_1.001
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -4.515200 Y 0.000000 Z 6.642400
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: BrickWall_1.002
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -2.481100 Y 0.290100 Z 6.642400
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: BrickWall_1.003
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -0.429700 Y 0.000000 Z 6.642400
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: Container_Small
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -0.714400 Y 0.000000 Z 7.872900
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: GasCan
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -9.167000 Y 0.012500 Z 6.028100
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: Landmine
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -1.019400 Y 0.000000 Z -0.247900
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: Tank.001
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -1.326100 Y 0.000000 Z -5.355400
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: Tree_3.001
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -15.676000 Y 0.000000 Z -3.777600
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: Landmine.001
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -2.739700 Y 0.000000 Z -2.678100
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: Landmine.002
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X 0.508400 Y 0.000000 Z -2.606800
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: Debris_Pile
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -1.698200 Y 0.000000 Z 4.433000
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: Debris_Pile.001
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -0.491300 Y 0.000000 Z 3.857200
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Model Detected: Container_Small.001
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	Location: X -7.756200 Y -2.127300 Z 1.547700
[Thu May 25 00:19:45 2023] ThreadID[12536]	[MESSAGE]	Game Level File Reading Complete.
[Thu May 25 00:19:45 2023] ThreadID[12536]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	H2B Imported: Barrier_Large.h2b
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	H2B Imported: BearTrap_Open.h2b
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	H2B Imported: BrickWall_1.h2b
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	H2B Imported: Container_Small.h2b
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	H2B Imported: Crate.h2b
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	H2B Imported: Debris_Pile.h2b
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	H2B Imported: GasCan.h2b
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	H2B Imported: Health.h2b
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	H2B Imported: Landmine.h2b
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	H2B Imported: Structure_1.h2b
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	H2B Imported: Tank.h2b
[Thu May 25 00:19:45 2023] ThreadID[12536]	[INFO]	H2B Imported: Tree_3.h2b
[Thu May 25 00:19:45 2023] ThreadID[12536]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu May 25 00:19:45 2023] ThreadID[12536]	[EVENT]	GAME LEVEL WAS LOADED TO CPU [DATA ORIENTED]
[Thu May 25 00:20:32 2023] ThreadID[46528]	Start Program.
[Thu May 25 00:20:32 2023] ThreadID[46528]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Thu May 25 00:20:32 2023] ThreadID[46528]	[MESSAGE]	Begin Reading Game Level Text File.
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Camera Detected: Camera
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Location: X -7.978100 Y 19.089300 Z -1.025000
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Camera Detected: Camera.002
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Location: X -23.598101 Y 5.529700 Z 12.363400
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Camera Detected: Camera.001
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Location: X 3.046300 Y 5.529700 Z -7.187700
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Model Detected: Tree_3
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Location: X -9.240400 Y 0.000000 Z 6.261300
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Model Detected: BearTrap_Open
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Location: X -10.045200 Y 0.000000 Z 2.357300
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Model Detected: BrickWall_1
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Location: X -6.600200 Y 0.290100 Z 6.642400
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Model Detected: Structure_1
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Location: X -13.139300 Y 0.000000 Z 2.213800
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Model Detected: Crate
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Location: X -7.975000 Y 0.000000 Z -1.748000
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Model Detected: Crate.001
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Location: X -8.085400 Y -0.049000 Z -2.526500
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Model Detected: Crate.002
[Thu May 25 00:20:32 2023] ThreadID[46528]	[INFO]	Location: X -8.101000 Y 0.682400 Z -2.104900
